variable,date,value
manufacturing,2002-02-01,0.030612244897959107
manufacturing,2002-03-01,-0.00990099009900991
manufacturing,2002-04-01,0.0050000000000001155
manufacturing,2002-05-01,-0.003731343283582267
manufacturing,2002-06-01,0.0012484394506866447
manufacturing,2002-07-01,0.007481296758104605
manufacturing,2002-08-01,-0.007425742574257321
manufacturing,2002-09-01,0.004987531172069737
manufacturing,2002-10-01,0.002481389578163906
manufacturing,2002-11-01,-0.0024752475247524774
manufacturing,2002-12-01,-0.006203473945409432
manufacturing,2003-01-01,-0.0012484394506865337
manufacturing,2003-02-01,0.0012499999999999734
manufacturing,2003-03-01,0.0037453183520601563
manufacturing,2003-04-01,-0.008706467661691586
manufacturing,2003-05-01,-0.013801756587202063
manufacturing,2003-06-01,0.0012722646310434627
manufacturing,2003-07-01,-0.0012706480304957024
manufacturing,2003-08-01,0.012722646310432628
manufacturing,2003-09-01,0.03266331658291466
manufacturing,2003-10-01,0
manufacturing,2003-11-01,0.010948905109488871
manufacturing,2003-12-01,-0.01564380264741272
manufacturing,2004-01-01,0.019559902200489088
manufacturing,2004-02-01,0.00959232613908867
manufacturing,2004-03-01,0.014251781472684133
manufacturing,2004-04-01,0.005854800936768045
manufacturing,2004-05-01,0.011641443538998875
manufacturing,2004-06-01,0.0023014959723819395
manufacturing,2004-07-01,0.008036739380022917
manufacturing,2004-08-01,0.006833712984054774
manufacturing,2004-09-01,0.007918552036199067
manufacturing,2004-10-01,-0.011223344556677839
manufacturing,2004-11-01,0.0011350737797957144
manufacturing,2004-12-01,0.009070294784580435
manufacturing,2005-01-01,0.006741573033707704
manufacturing,2005-02-01,-0.011160714285714302
manufacturing,2005-03-01,0.004514672686230403
manufacturing,2005-04-01,-0.0011235955056179137
manufacturing,2005-05-01,0.02924634420697414
manufacturing,2005-06-01,-0.017486338797814138
manufacturing,2005-07-01,-0.005561735261401579
manufacturing,2005-08-01,0.0011185682326622093
manufacturing,2005-09-01,-0.007821229050279377
manufacturing,2005-10-01,-0.009009009009009028
manufacturing,2005-11-01,0.013636363636363669
manufacturing,2005-12-01,0.02130044843049328
manufacturing,2006-01-01,0
manufacturing,2006-02-01,0.014270032930845389
manufacturing,2006-03-01,-0.015151515151515249
manufacturing,2006-04-01,0.00659340659340657
manufacturing,2006-05-01,0.004366812227074357
manufacturing,2006-06-01,-0.011956521739130421
manufacturing,2006-07-01,0.00990099009900991
manufacturing,2006-08-01,-0.004357298474945481
manufacturing,2006-09-01,-0.005470459518599591
manufacturing,2006-10-01,-0.0033003300330034513
manufacturing,2006-11-01,0.02207505518763786
manufacturing,2006-12-01,0.008639308855291628
manufacturing,2007-01-01,0.0010706638115631772
manufacturing,2007-02-01,0.013903743315508033
manufacturing,2007-03-01,0.006329113924050667
manufacturing,2007-04-01,0.00943396226415083
manufacturing,2007-05-01,0
manufacturing,2007-06-01,0.008307372793354029
manufacturing,2007-07-01,-0.006179196704428347
manufacturing,2007-08-01,0.00932642487046631
manufacturing,2007-09-01,0.004106776180698102
manufacturing,2007-10-01,0.010224948875255713
manufacturing,2007-11-01,0
manufacturing,2007-12-01,0.011133603238866474
manufacturing,2008-01-01,0.02302302302302306
manufacturing,2008-02-01,-0.015655577299413026
manufacturing,2008-03-01,0.006958250497017815
manufacturing,2008-04-01,-0.0039486673247778326
manufacturing,2008-05-01,0.0049554013875123815
manufacturing,2008-06-01,0.010848126232741562
manufacturing,2008-07-01,9.756097560975618e-4
manufacturing,2008-08-01,-0.011695906432748426
manufacturing,2008-09-01,0.018737672583826415
manufacturing,2008-10-01,-0.04065827686350443
manufacturing,2008-11-01,-0.039354187689202735
manufacturing,2008-12-01,-0.11659663865546233
manufacturing,2009-01-01,0.02021403091557672
manufacturing,2009-02-01,0.0174825174825175
manufacturing,2009-03-01,0.009163802978235935
manufacturing,2009-04-01,0.012485811577752637
manufacturing,2009-05-01,0.01457399103139001
manufacturing,2009-06-01,0.009944751381215422
manufacturing,2009-07-01,0.013129102844638751
manufacturing,2009-08-01,0.019438444924406273
manufacturing,2009-09-01,0.01588983050847448
manufacturing,2009-10-01,0.016684045881126153
manufacturing,2009-11-01,0.021538461538461506
manufacturing,2009-12-01,0.008032128514056325
manufacturing,2010-01-01,0.01294820717131473
manufacturing,2010-02-01,0
manufacturing,2010-03-01,0.01179941002949847
manufacturing,2010-04-01,0.00680272108843516
manufacturing,2010-05-01,-0.004826254826254872
manufacturing,2010-06-01,-0.005819592628515946
manufacturing,2010-07-01,-0.008780487804878057
manufacturing,2010-08-01,-0.0059055118110236116
manufacturing,2010-09-01,0.003960396039603964
manufacturing,2010-10-01,0
